Seconds,Minutes,comment_id,Is Summary Node,Word Count,Words Shown,Percent Summarized
0,0,75791,FALSE,11,11,0
3,0.05,75792,FALSE,5,16,0
19,0.316666667,75795,FALSE,8,24,0
20,0.333333333,75796,FALSE,1,25,0
28,0.466666667,75797,FALSE,7,32,0
46,0.766666667,75799,FALSE,7,39,0
56,0.933333333,75800,FALSE,5,44,0
63,1.05,75801,FALSE,4,48,0
81,1.35,75802,FALSE,11,59,0
90,1.5,75803,TRUE,34,60,56
91,1.516666667,75804,FALSE,14,74,45
100,1.666666667,75805,FALSE,10,84,40
145,2.416666667,75806,FALSE,26,110,30
160,2.666666667,75807,FALSE,29,139,24
163,2.716666667,75808,FALSE,7,146,23
164,2.733333333,75809,FALSE,5,151,22
183,3.05,75810,FALSE,7,158,21
186,3.1,75811,FALSE,5,163,20
188,3.133333333,75812,FALSE,10,173,19
192,3.2,75813,FALSE,5,178,19
194,3.233333333,75814,FALSE,5,183,18
194,3.233333333,75815,FALSE,13,196,17
222,3.7,75816,FALSE,2,198,17
227,3.783333333,75817,FALSE,7,205,16
233,3.883333333,75818,FALSE,22,227,15
238,3.966666667,75819,FALSE,24,251,13
250,4.166666667,75820,FALSE,1,252,13
309,5.15,75822,FALSE,27,279,12
369,6.15,75823,TRUE,3,274,15
399,6.65,75824,FALSE,12,286,14
407,6.783333333,75825,FALSE,58,344,12
433,7.216666667,75826,FALSE,14,358,11
458,7.633333333,75827,FALSE,1,359,11
473,7.883333333,75828,FALSE,15,374,11
511,8.516666667,75829,FALSE,32,406,10
532,8.866666667,75830,FALSE,40,446,9
543,9.05,75831,FALSE,31,477,9
565,9.416666667,75832,FALSE,58,535,8
602,10.03333333,75833,FALSE,18,553,7
607,10.11666667,75834,FALSE,6,559,7
631,10.51666667,75836,FALSE,5,564,7
691,11.51666667,75837,FALSE,16,580,7
732,12.2,75838,FALSE,19,599,7
792,13.2,75839,FALSE,4,603,7
804,13.4,75840,FALSE,11,614,7
833,13.88333333,75841,FALSE,14,628,6
860,14.33333333,75842,FALSE,8,636,6
877,14.61666667,75843,FALSE,19,655,6
891,14.85,75844,FALSE,34,689,6
903,15.05,75845,FALSE,14,703,6
943,15.71666667,75846,TRUE,8,678,10
951,15.85,75847,FALSE,5,683,10
960,16,75848,TRUE,14,667,15
1018,16.96666667,75849,FALSE,3,670,15
1044,17.4,75850,FALSE,1,671,15
1051,17.51666667,75851,FALSE,1,672,15
1090,18.16666667,75852,TRUE,70,499,48
1097,18.28333333,75853,TRUE,89,310,87
1128,18.8,75854,TRUE,12,237,99
1172,19.53333333,75855,FALSE,3,240,98
1200,20,75853,TRUE,1,240,98
1249,20.81666667,75858,FALSE,11,251,97
1260,21,75862,TRUE,18,269,
1296,21.6,75853,TRUE,67,336,
1335,22.25,75859,FALSE,11,347,95
1357,22.61666667,75860,FALSE,6,353,95
1438,23.96666667,75861,FALSE,11,364,93
1500,25,75853,TRUE,6,370,
1525,25.41666667,75862,TRUE,202,326,93
1560,26,75862,TRUE,15,341,
1597,26.61666667,75863,FALSE,8,349,92
1620,27,75862,TRUE,96,445,
1740,29,75862,TRUE,5,450,
1800,30,75862,TRUE,10,460,
5689,94.81666667,75864,FALSE,13,473,91
5759,95.98333333,75865,FALSE,24,497,88
5908,98.46666667,75866,FALSE,67,564,81
6702,111.7,75867,FALSE,36,600,78
15948,265.8,75868,FALSE,59,659,73
62391,1039.85,75869,FALSE,39,698,70
62457,1040.95,75870,FALSE,31,729,68
62511,1041.85,75871,FALSE,20,749,67
62579,1042.983333,75872,FALSE,18,767,66
62626,1043.766667,75873,FALSE,10,777,65
77041,1284.016667,75874,FALSE,24,801,64
77197,1286.616667,75875,FALSE,51,852,61
77396,1289.933333,75877,FALSE,17,869,60
77460,1291,75878,FALSE,28,897,59
93000,1550,75862,TRUE,13,910,61
156216,2603.6,75879,FALSE,31,941,57
156278,2604.633333,75880,FALSE,47,988,55
156593,2609.883333,75881,TRUE,81,599,92
156751,2612.516667,75882,FALSE,26,625,90
156821,2613.683333,75883,FALSE,32,657,88
170940,2849,75862,TRUE,2,659,88
171000,2850,75848,TRUE,7,659,89
171586,2859.766667,75884,FALSE,3,662,88
171609,2860.15,75885,FALSE,7,669,87
171640,2860.666667,75886,TRUE,22,675,88
171723,2862.05,75887,FALSE,1,676,88
171766,2862.766667,75888,TRUE,22,675,88
171791,2863.183333,75889,FALSE,14,689,87
171805,2863.416667,75890,FALSE,1,690,87
171819,2863.65,75891,FALSE,7,697,87
171869,2864.483333,75892,FALSE,41,738,84
280639,4677.316667,75893,FALSE,19,757,83
280657,4677.616667,75894,FALSE,11,768,82
280792,4679.866667,75895,FALSE,8,776,82
280900,4681.666667,75896,FALSE,33,809,80
281044,4684.066667,75897,FALSE,38,847,78
281317,4688.616667,75898,TRUE,17,752,85
