Seconds,Minutes,Edit to Summary,Word Count,Words In Interface of Proposal
120540,2009,TRUE,18,1717
120660,2011,TRUE,12,1728
120720,2012,TRUE,9,1729
120780,2013,TRUE,6,1735
120840,2014,TRUE,5,1738
204960,3416,TRUE,8,1743
205020,3417,TRUE,4,1745
205080,3418,TRUE,6,1742
205140,3419,TRUE,5,1739
260520,4342,TRUE,3,1739
260640,4344,TRUE,9,1739
260700,4345,TRUE,4,1737
260760,4346,TRUE,1,1737
260820,4347,TRUE,2,1735
260880,4348,TRUE,2,1729
323640,5394,TRUE,14,1732
323700,5395,TRUE,11,1736
323760,5396,TRUE,5,1741
323820,5397,TRUE,10,1751
323880,5398,TRUE,27,1777
