time,url,method,query_string,referer,action,comments,explanation,from_str,to_str
2018-09-15 01:10:14,/account/login/,POST,"",http://wikum.org/account/login/,,,,,
2018-09-15 01:10:14,/,GET,"",http://wikum.org/account/login/,,,,,
2018-09-15 01:10:23,/visualization_flags,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/,,,,,
2018-09-15 01:10:24,/tags_and_authors,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:10:25,/users,GET,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:10:25,/viz_data,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&sort=id&next=0&num=0&filter=&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:10:25,/get_stats,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:11:36,/log_data,GET,"data=open_summarize_one_modal&did=70091&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:11:47,,,"",,edit_sum,70091,edit summary,1,1
2018-09-15 01:11:47,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:11:47,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:03,/log_data,GET,"data=open_summarize_one_modal&did=70092&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:18,,,"",,edit_sum,70092,edit summary,1,1
2018-09-15 01:12:18,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:18,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:27,/log_data,GET,"data=open_summarize_one_modal&did=70093&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:42,,,"",,edit_sum,70093,edit summary,1,1
2018-09-15 01:12:42,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:42,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:12:57,/log_data,GET,"data=open_summarize_one_modal&did=70094&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:13:17,,,"",,edit_sum,70094,edit summary,1,1
2018-09-15 01:13:17,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:13:17,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:13:21,/visualization_flags,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies,,,,,
2018-09-15 01:13:22,/users,GET,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1,,,,,
2018-09-15 01:13:22,/viz_data,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&sort=id&next=1&num=0&filter=&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1,,,,,
2018-09-15 01:13:22,/tags_and_authors,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1,,,,,
2018-09-15 01:13:22,/get_stats,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1,,,,,
2018-09-15 01:13:25,/visualization_flags,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=0",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=1,,,,,
2018-09-15 01:13:25,/users,GET,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=0,,,,,
2018-09-15 01:13:25,/tags_and_authors,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=0,,,,,
2018-09-15 01:13:25,/viz_data,GET,"article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&sort=id&next=0&num=0&filter=&owner=Drmies",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:Elon_Musk%27s_Tesla_Roadster%23RfC_about_the_infobox_image&num=0&owner=Drmies&sort=id&colorby=summarized&filter=&next=0,,,,,
