time,url,method,query_string,referer,action,comments,explanation,from_str,to_str
2018-09-08 13:38:54,/visualization_flags,GET,"article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1",None,,,,,
2018-09-08 13:38:55,/users,GET,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:38:55,/viz_data,GET,"article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&sort=id&next=1&num=0&filter=&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:38:55,/tags_and_authors,GET,"article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:38:56,/get_stats,GET,"article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:41:56,/log_data,GET,"data=open_summarize_one_modal&did=70366&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:42:30,,,"",,edit_sum,70366,edit summary,1,1
2018-09-08 13:42:31,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:42:31,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:42:41,/log_data,GET,"data=open_summarize_one_modal&did=70368&type=summarize_one",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:43:10,,,"",,edit_sum,70368,edit summary,1,1
2018-09-08 13:43:10,/summarize_comment,POST,"",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
2018-09-08 13:43:10,/log_data,GET,"data=close_summarize_one_modal",http://wikum.org/visualization_flags?article=https://en.wikipedia.org/wiki/Talk:List_of_military_occupations%23RFC:_Should_East_Jerusalem_and_Gaza_be_moved_from_Current_military_occupations_for_the_sake_of_consistency?&num=0&owner=MrX&sort=id&colorby=user&filter=&next=1,,,,,
